#{"t_start": 1768938452.7106507, "env_id": "None"}
r,l,t
-43.9,8,0.002226
-29.1,3,0.987457
-57.8,15,0.988463
-37.9,8,0.989458
-65.2,20,0.989458
-33.8,8,0.989458
-85.3,29,0.99197
-43.2,7,0.99297
-47.9,11,0.993968
-38.5,8,0.994969
-48.6,10,0.994969
-78.1,31,0.996987
-43.6,8,0.997988
-33.4,7,0.998969
-48.4,12,0.99997
-47.8,11,0.99997
-64.0,11,1.000987
-54.7,9,1.00153
-57.6,13,1.00252
-29.6,2,1.00252
-53.2,13,1.003541
-51.3,15,1.003541
-110.7,29,1.005536
-93.0,31,1.006536
-29.2,4,1.006536
-59.3,9,1.007536
-33.5,4,1.007536
-33.9,4,1.007536
-42.9,10,1.008536
-39.3,5,1.008536
-48.6,10,1.008536
-49.0,10,1.009541
-49.4,18,1.01105
-34.3,4,1.01105
-33.3,8,1.012055
-29.4,2,1.012055
-47.3,10,1.013056
-38.3,8,1.013056
-29.3,3,1.013056
-77.7,16,1.01406
-58.3,13,1.015061
-26.0,11,1.01606
-31.7,11,1.01606
-39.1,8,1.01706
-29.1,2,1.01706
-52.1,14,1.018061
-42.4,14,1.018061
-29.9,3,1.018061
-29.1,2,1.01906
-34.5,3,1.01906
-48.5,8,1.01906
-63.0,13,1.020063
-83.6,17,1.021087
-51.6,13,1.021629
-89.2,25,1.022621
-56.9,16,1.02362
-68.1,14,1.02462
-53.6,11,1.02462
-38.1,6,1.02562
-54.8,21,1.026637
-39.3,5,1.026637
-63.3,15,1.027623
-53.4,12,1.028623
-29.6,2,1.028623
-45.5,19,1.029622
-39.2,6,1.029622
-58.4,11,1.031168
-54.0,8,1.031168
-48.2,14,1.032175
-48.0,9,1.032175
-34.8,4,1.033193
-71.5,19,1.033193
-65.2,24,1.035192
-48.1,10,1.035192
-29.5,2,1.035192
-61.3,15,1.036191
-59.1,11,1.036191
-42.9,9,1.037191
-38.6,5,1.037191
-29.0,2,1.037191
-34.5,7,1.038191
-33.9,6,1.038191
-34.3,3,1.038191
-62.7,15,1.039191
-109.5,31,1.040191
-39.4,5,1.040191
-36.9,10,1.041192
-43.9,6,1.041192
-38.9,5,1.041192
-39.4,4,1.042373
-39.1,6,1.042373
-29.3,2,1.042373
-33.5,4,1.042373
-61.9,17,1.044384
-34.0,4,1.044384
-29.3,2,1.045392
-28.1,5,1.045392
